Time_spent_seconds,Concentration avg
105,0.49
88,0.56
30,0.54
27,0.52
15,0.32
50,0.53
5,0.54
10,0.63
25,0.57
10,0.63
85,0.54
22,0.58
15,0.67
7,0.64
43,0.52
44,0.56
25,0.5
30,0.46
30,0.36
100,0.55
45,0.53
12,0.5
28,0.49
15,0.46
55,0.5
60,0.55
60,0.53
115,0.64
45,0.72
55,0.47
58,0.55
110,0.56
155,0.67
51,0.57
10,0.49
35,0.59
345,0.5
95,0.49
85,0.6
25,0.76
95,0.63
145,0.6
31,0.65
60,0.69
39,0.63
73,0.56
15,0.58
12,0.56
15,0.84
45,0.76
40,0.72
17,0.87
263,0.57
171,0.51
42,0.6
34,0.62
10,0.55
58,0.71
8,0.7
15,0.55
10,0.61
14,0.78
76,0.44
115,0.61
311,0.55
66,0.62
70,0.54
316,0.52
49,0.64
157,0.62
147,0.57
65,0.62
305,0.54
6,0.51
30,0.47
25,0.73
47,0.6
7,0.57
10,0.42
10,0.46
25,0.5
41,0.33
25,0.31
205,0.32
60,0.43
111,0.5
13,0.62
12,0.72
5,0.36
30,0.41
39,0.42
8,0.53
5,0.6
18,0.48
8,0.5
5,0.51
32,0.31
9,0.35
111,0.27
86,0.32
70,0.46
47,0.67
11,0.52
12,0.28
25,0.54
40,0.67
21,0.33
21,0.48
44,0.49
22,0.6
125,0.49
25,0.54
87,0.7
15,0.69
45,0.46
55,0.59
146,0.58
121,0.53
71,0.5
14,0.43
44,0.41
114,0.43
145,0.46
15,0.32
16,0.53
73,0.46
37,0.62
13,0.46
35,0.48
87,0.45
28,0.48
15,0.53
25,0.44
25,0.44
20,0.43
10,0.54
20,0.6
8,0.39
11,0.45
23,0.27
76,0.4
5,0.67
14,0.58
55,0.57
21,0.65
30,0.56
35,0.66
39,0.55
16,0.58
30,0.5
24,0.61
177,0.49
65,0.43
20,0.55
7,0.3
15,0.62
121,0.49
21,0.5
86,0.53
52,0.48
25,0.31
35,0.34
14,0.61
18,0.47
5,0.32
20,0.6
