Time_spent_seconds,Concentration avg
45,0.46
55,0.59
146,0.58
121,0.53
71,0.5
14,0.43
44,0.41
114,0.43
145,0.46
15,0.32
16,0.53
73,0.46
37,0.62
13,0.46
35,0.48
87,0.45
28,0.48
15,0.53
25,0.44
25,0.44
19,0.0
20,0.43
10,0.54
20,0.6
8,0.39
11,0.45
23,0.27
76,0.4
5,0.67
14,0.58
55,0.57
21,0.65
30,0.56
21,0.0
15,0.47
92,0.32
33,0.29
22,0.31
5,0.0
5,0.0
10,0.29
15,0.0
5,0.0
13,0.54
9,0.5
12,0.53
5,0.0
21,0.65
5,0.0
9,0.62
25,0.65
10,0.0
5,0.0
21,0.0
15,0.53
8,0.0
35,0.66
39,0.55
16,0.58
30,0.5
24,0.61
177,0.49
65,0.43
20,0.55
7,0.3
15,0.62
121,0.49
21,0.5
86,0.53
52,0.48
25,0.31
35,0.34
14,0.61
18,0.47
5,0.32
20,0.6
